Stream ID,Packet Count, Packets (Up), Packets (Down),Average Bytes/packet,Average bytes up,Average bytes down,Total bytes,Duration (seconds),écart-type (bytes),Average inter packet time up,Average inter packet time down,ecart-type temps inter paquet up,ecart-type temps inter paquet down
0b14a3a4a69b4eb82a7b880ebd90f994054a41f8727ed3157fc70f88d3ff09ff,11,4,7,379,202,480,4173,0.06,476.58,0.02,0.01,0.01,0.01
9eb3639e182f6a02e9daad48a127cff0d37cfb6ce108e072f0d5c3c0b535129a,11,4,7,379,202,480,4173,0.06,476.58,0.02,0.01,0.01,0.01
c2a17f9c9f532cf5452578833bd860d0381e42e91157bdd7f5cac5bf811f919e,10,4,6,414,202,556,4149,0.05,485.74,0.02,0.01,0.01,0.01
dcd1ffd6843a2fdfb96113a8ff34a6aa30e50916be3d2b274a38ace607b2685d,35,11,24,3343,146,4808,117006,117.05,4611.38,11.70,5.09,23.35,16.45
fb3e2c594245dedcf51eb851348168e184329d88cec694b3c0ed24724b6589d1,82,25,57,1448,189,2000,118755,124.67,2207.91,5.19,2.23,16.19,10.90
106195139b7f6f9abef4e8fc54c96482a301a39a1d0bbeb90adf8e910144fe79,25,10,15,528,133,791,13208,0.13,565.67,0.01,0.01,0.02,0.02
d5a9f370702e6e8200a79cd359a8a7fefe7bb8b0159079199b0b7d3cdc227394,134,47,87,737,140,1060,98862,5.91,627.40,0.13,0.07,0.65,0.48
9defd5b9a97788faed05c083aef51abc71d7843c83a223ab3142e20e20280021,55,14,41,2923,203,3851,160772,120.80,4116.91,9.29,3.02,21.00,12.74
9dc693071dbc6a340df6ff4ee7cf7398d68799cf74da232972a06d6437efb989,21,9,12,310,154,427,6523,120.09,450.59,15.01,10.92,25.24,22.54
1f2e7fb67ef6534ebc3b928dd74d1169fc6661688ed57c7f2a41490dc4a54e48,17,7,10,480,170,697,8166,117.47,554.84,19.58,13.05,27.67,24.41
049d34b08e30dffb03a2003526f45789d044284b21570af46c3191c4e47f71bd,44,14,30,4025,168,5825,177132,117.36,4488.47,9.03,4.05,21.16,14.86
52d16f9abb39755ee8f11565a36a98617ef11d630578530e963afbb396a7d181,11,4,7,362,217,445,3985,0.08,476.15,0.02,0.01,0.00,0.01
744faae96b9c1ce2e51a39c136caf329237807beb8a26c39a81794ebb92bf5ca,10,4,6,561,309,729,5611,4.09,502.00,1.36,0.81,1.89,1.59
7a8f04f3398db7a3c16abaf9db2144bc7f870036fb44a5b1112e69ad6005679f,65,13,52,11313,155,14103,735396,117.79,14085.87,9.81,2.31,21.88,11.40
88e06d79fe1cff5e59e0f6c7fce87daec5915f9f58d112ce8a31138bfe55d862,37,8,29,1264,157,1570,46794,117.47,1386.00,16.78,4.19,26.50,15.11
6a84aa37b410ccdca78656fb6302428568427ef40187c73e064f9be7f91766f0,12,5,7,382,390,376,4584,0.09,472.40,0.01,0.01,0.01,0.01
