Stream ID,Packet Count, Packets (Up), Packets (Down),Average Bytes/packet,Average bytes up,Average bytes down,Total bytes,Duration (seconds),écart-type (bytes),Average inter packet time up,Average inter packet time down,ecart-type temps inter paquet up,ecart-type temps inter paquet down
5ea046bf1a804d73184ef7022c2824690705dd6999deb2c6efc1949f838783fa,18,6,12,818,459,998,14739,0.27,552.90,0.05,0.02,0.05,0.03
04915a4fae04cbfc3d7cd345fc07e3cf5f3ea90c5d69db576f8d2a1f4e9cbc69,135,52,83,1527,975,1873,206250,156.36,2020.53,3.07,1.91,11.78,9.40
6257eb540febe7de5580545870a66eb33f6e029eb45b3ed5910a5de21fd54d89,270,81,189,4494,1004,5990,1213562,166.33,6146.73,2.08,0.88,6.98,4.67
ba401f61601ca657eef19adcdec9b4ce42bc33245555c472c170317bc964e4c0,113,52,61,1447,991,1837,163619,152.12,1814.38,2.98,2.53,9.86,9.14
1b764d726d936d04b10e59bcfc288a5f175191d764078a4392135969f8034055,42,6,36,5332,533,6132,223956,0.33,4758.83,0.06,0.01,0.08,0.01
b97304fabe415fafff92510ccc0914fd727ac621b4555b0d632c93262fd3b84b,260,91,169,3244,1003,4452,843680,152.07,4863.40,1.69,0.90,6.09,4.54
5185e82f2878bc4568ef4464700e7ee4eeb3c9d08c5dcbdeb835895e3f979eba,81,33,48,1354,972,1618,109751,152.12,1574.40,4.75,3.24,14.62,12.27
031486d6f404fca7c039703203a1c362f8f295d009de7450c0cb381c9f32c290,123,51,72,2356,1002,3315,289828,164.21,3796.37,3.28,2.31,9.97,8.49
