Stream ID,Packet Count, Packets (Up), Packets (Down),Average Bytes/packet,Average bytes up,Average bytes down,Total bytes,Duration (seconds),écart-type (bytes),Average inter packet time up,Average inter packet time down,ecart-type temps inter paquet up,ecart-type temps inter paquet down
07f7ab2602bacf36b55a80d00b0a000b0793e5268014097639027bdf54924dd3,14,6,8,355,273,416,4971,0.07,460.43,0.01,0.01,0.01,0.01
8533de90f7c0fce099b66b51a79bc2bd344cfb34b3bbd30a40334cb3d1e8c330,34,18,16,516,221,847,17546,0.21,580.87,0.01,0.01,0.02,0.03
ce7990d6e819d510c9b0d7c10323cabe46a8a23f97c4e3c07a10387f339051d2,26,10,16,409,155,569,10657,117.24,496.87,13.02,7.81,24.32,19.89
7dd688249ef2721086a6f6cbec87243dc3aa2b8d7099471473a8c123d6dc910e,21,10,11,542,202,851,11385,0.07,594.92,0.01,0.01,0.01,0.01
0f35629d2b261a986834bdda94530fcf9369cf144c504d18445336c3e5206897,18,8,10,488,158,753,8801,0.08,521.93,0.01,0.00,0.01,0.01
dd321fd042d3584126772e2c1899194d83ffc061d1faebc2e95eee79091a0bc8,34,15,19,613,162,968,20850,13.54,621.31,0.96,0.75,3.46,3.07
5adb1f495c652ca991ed3a0955a255c14f2be93ea0b32671de61a9b6c06deaec,14,7,7,208,210,206,2916,0.03,262.74,0.00,0.00,0.01,0.00
b8857b633cf8c1e6f703582a994295958bd30f5fa1528cf5e9cb05d398b6b7e1,32,18,14,470,138,896,15041,0.08,579.00,0.00,0.00,0.01,0.01
7d3b3841c212350144f52ccbc3d9a7dd9e4c162f2b71b57ae0cd6fb08c77ae2f,14,7,7,208,210,206,2916,0.03,262.74,0.00,0.00,0.01,0.00
aaf0df6ab6e211cc03b92b95fa19ef4749c73818873e476eb143472c5017764d,38,12,26,859,154,1184,32664,0.11,680.61,0.01,0.00,0.02,0.01
e5922bed1fe00983b28876c6cf939b47baad27306cfc2a8487ae30e679abeb0a,30,9,21,761,154,1021,22837,0.11,603.10,0.01,0.00,0.02,0.01
e9a6138653168e1bcca4f78b045a2a2a566c30657a8fe670eee8e4fc066b8c24,27,11,16,418,151,602,11298,0.11,497.79,0.01,0.01,0.02,0.01
dc92f9197ee0dccb63db88b796a66c6f646142705979125d02ecd2e3a6d024ca,29,14,15,549,176,897,15932,21.47,591.54,1.65,1.53,5.69,5.49
b014935021e7acbb5484ffad3cccab0bc1fe7585cb1cd15f339761484bde767b,23,12,11,582,166,1035,13387,0.08,613.36,0.00,0.01,0.01,0.01
68cda80fa3a9781bd2f5c2bb64cac889dd66521bb2365f2baa3e0af467d35cb5,18,7,11,730,249,1035,13140,0.07,616.73,0.01,0.01,0.01,0.01
89b63609b60373c863d11868feacd6495914fd7db459c2a5ad3ffb17d6fdf9be,14,7,7,208,210,206,2916,0.03,262.74,0.00,0.00,0.01,0.00
80d70d4695b1a8d74292fbd17298e4b65e63a43fb4454d267854af7b228a7b97,21,10,11,281,200,355,5911,90.84,390.35,10.09,9.08,19.79,19.03
95392a6d2c47c4db09ad9e70736aca3efa53f5a4ec4c9c7a91bc03b6c7637ec5,74,36,38,475,259,681,35213,2.71,566.16,0.08,0.07,0.33,0.32
3645c83e9c370e59cbf8799b5c54320ff729202c381eb07953f52d135738d276,1977,365,1612,1038,142,1241,2053472,13.35,547.22,0.04,0.01,0.24,0.12
aed7251dc3202d362b992bc8896247fe621d5af117919cd2410f4c31739bfa32,228,50,178,1032,83,1299,235515,1.01,553.67,0.02,0.01,0.09,0.05
