Stream ID,Packet Count, Packets (Up), Packets (Down),Average Bytes/packet,Average bytes up,Average bytes down,Total bytes,Duration (seconds),écart-type (bytes),Average inter packet time up,Average inter packet time down,ecart-type temps inter paquet up,ecart-type temps inter paquet down
c7d0f2146f8a6c5722ffa96eaae1ad9f58d2c7c892450f4b327e908e006b7801,13,5,8,351,202,444,4568,0.79,454.79,0.20,0.07,0.20,0.17
5651f84a59014354d509247bc0954c7cd704be6c69fd03091dff1522e709710d,10,6,4,108,58,184,1088,52.76,234.09,10.55,17.52,20.77,24.51
693e63570153d792a4f340ad7c503c378c7fe70ac26ecc595c90c5f3241826f1,11,5,6,337,263,399,3714,0.81,427.81,0.20,0.12,0.15,0.17
4ca8a9da31d855749949e6003adaaf45c85af25ebf113b6edb540e38618170ca,10,5,5,371,263,480,3716,0.86,434.76,0.21,0.14,0.13,0.14
62df4876efca8b74126d4638d6e2131d558f9c59c1b4ce4a21f768ce545f74fe,11,5,6,337,263,400,3716,0.89,427.95,0.22,0.12,0.13,0.15
1607ecdc83072e468e387b7a8f7219b83cd89622b19065679d7c25cdf8cb7cc2,15,6,9,341,185,444,5115,5.80,424.12,1.16,0.71,2.02,1.70
20d42bb883636eb271f30b3c592c708590e97e6169b518b61fbb3058bf523254,10,4,6,464,290,580,4645,0.41,444.30,0.14,0.04,0.10,0.07
e5cf3351a1519cea70915aa1df4dcb5514d7ee8ad0688653497dcb175c9094ab,11,5,6,476,343,587,5243,39.20,432.74,9.77,7.82,16.85,15.55
831c0eb7483f026fc9fd5c19f9e4e9661ec5c0f6f73aea4c2123adc2b010ac6f,14,5,9,753,507,890,10550,30.54,539.88,7.63,3.79,13.09,9.86
16bfaa636f7d0c5fb68b5bda26ec0410a225dbb873280b4d4c481f146a5ab9b3,33,16,17,532,277,771,17564,13.53,546.14,0.90,0.83,1.84,1.88
e832faedd1ff5d2dc118766973cbad0ef6cb63185d4a050e8a7be4cfbdc57d43,29,7,22,795,164,996,23078,77.52,620.26,12.92,3.69,27.81,15.90
003300a40f51aa7c27fadef9e793b88c0e93d07cf62ccceb98fc066967f774b9,13,5,8,350,288,389,4561,0.44,394.91,0.11,0.04,0.08,0.06
3105bd39a383f18d6681aafbec1f4adffe49918d65343a40d506abb3529265b5,16,7,9,309,209,387,4951,120.52,374.57,20.09,15.05,44.72,39.69
8f715854e556586fe9a7883782d7a5fa029c05efba8f5aaa019ae15dfe132d04,18,6,12,233,184,258,4206,60.52,346.39,12.10,5.49,24.01,17.24
665f8df897bbf7ca0705cb8bdd2d4d98b5811b2ee0d1986b901cb63dcca611ca,2447,79,2368,1388,220,1427,3397072,108.67,258.46,1.39,0.05,5.17,0.97
