Stream ID,Packet Count, Packets (Up), Packets (Down),Average Bytes/packet,Average bytes up,Average bytes down,Total bytes,Duration (seconds),écart-type (bytes),Average inter packet time up,Average inter packet time down,ecart-type temps inter paquet up,ecart-type temps inter paquet down
7ebd2829ef0b7e6b2d36d9a41cdb5b1bf799e1dde10878395356ccf47c6c4fb9,11,4,7,559,234,745,6155,0.46,511.34,0.13,0.07,0.14,0.13
f3e27cd595ce82866c8494a02b3cef57699dc962f82916ab8eb6725172beec61,11,4,7,559,234,745,6155,0.43,511.34,0.11,0.06,0.10,0.09
b7569b20a2a2adf6991601b1a127cc68ba575a4e1771ff75e25df3dfa004b45f,19,10,9,308,194,434,5854,90.85,392.95,10.08,11.35,16.84,15.18
8e509e60a89e2714e1d82cdb6fabd14285f79731efb5be7633fd5043207442c9,20,10,10,294,380,209,5899,0.22,442.16,0.02,0.02,0.03,0.03
