Stream ID,Packet Count, Packets (Up), Packets (Down),Average Bytes/packet,Average bytes up,Average bytes down,Total bytes,Duration (seconds),écart-type (bytes),Average inter packet time up,Average inter packet time down,ecart-type temps inter paquet up,ecart-type temps inter paquet down
f93d811b6f24dead16bed18f95bb8f8c5fbc82ec8a3ea33ce9655be7356e82da,29,7,22,62,73,58,1811,176.45,30.39,27.63,8.39,18.50,11.72
3548004bdf80c2061c0f4dafd80f621edcc6ce9dd805146534004756e1a691a1,34,29,5,57,58,51,1944,180.23,26.23,6.44,41.25,10.16,0.00
e46aac976d2cd1a57cb4cf243028f98faad8b60ed7a73bcd5971f5f967a3c076,223,89,134,494,379,571,110361,175.14,511.55,1.99,1.32,7.06,5.81
fba2cfc65eaa86074008b9eda546d628730aec28fe1a9d2ae3220e521ee381ca,23,12,11,347,487,194,7983,0.35,490.45,0.03,0.02,0.05,0.04
b917d46da83ba45fcaf5cd35ba1b26c66577b52b61ae87730756131a31b9687d,56,4,52,1267,341,1338,70965,0.14,421.74,0.02,0.00,0.02,0.00
c6b599c2aff4f44d275f6d4ae854c5de7c50a6f77bbea36c40a789d3ce1b0d83,146,7,139,1315,183,1372,192003,59.72,368.85,9.91,0.43,22.00,5.01
